Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/li_ 1""))",Chrome 88.0.4324.182,Condo 1 room,,2021-02-24 14:11:41,2021-02-24 14:11:42,0.387s,PASSED
"click(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/div__arrow-down_1_2""))",Chrome 88.0.4324.182,,,2021-02-24 14:11:42,2021-02-24 14:11:43,1.065s,PASSED
"click(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/li_2""))",Chrome 88.0.4324.182,2 hrs,,2021-02-24 14:11:43,2021-02-24 14:11:43,0.375s,PASSED
"click(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/div__arrow-down_1_2_3""))",Chrome 88.0.4324.182,,,2021-02-24 14:11:43,2021-02-24 14:11:44,0.655s,PASSED
"click(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/li_""))",Chrome 88.0.4324.182,Clean,,2021-02-24 14:11:44,2021-02-24 14:11:44,0.357s,PASSED
"click(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/label_""))",Chrome 88.0.4324.182,cat,,2021-02-24 14:11:44,2021-02-24 14:11:45,0.491s,PASSED
"click(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/label__1""))",Chrome 88.0.4324.182,dog,,2021-02-24 14:11:45,2021-02-24 14:11:45,0.355s,PASSED
"setText(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/textarea____BVID__201""), ""hello"")",Chrome 88.0.4324.182,,,2021-02-24 14:11:45,2021-02-24 14:11:46,0.697s,PASSED
"click(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/span_""))",Chrome 88.0.4324.182,,,2021-02-24 14:11:46,2021-02-24 14:11:46,0.368s,PASSED
"click(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/button_""))",Chrome 88.0.4324.182,,,2021-02-24 14:11:46,2021-02-24 14:11:47,0.481s,PASSED
"date = getText(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/p_ 30 .. 2021""))",Chrome 88.0.4324.182,ศุกร์ 30 เม.ย. 2021,,2021-02-24 14:11:47,2021-02-24 14:11:48,1.072s,PASSED
"doing = getText(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/p_  0700 - 0900""))",Chrome 88.0.4324.182,ทำความสะอาด 07:00 - 09:00,,2021-02-24 14:11:48,2021-02-24 14:11:48,0.336s,PASSED
"loca = getText(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/span_Town in Town Village""))",Chrome 88.0.4324.182,Town in Town Village,,2021-02-24 14:11:48,2021-02-24 14:11:48,0.360s,PASSED
"dura = getText(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/p_2""))",Chrome 88.0.4324.182,2 ชั่วโมง,,2021-02-24 14:11:48,2021-02-24 14:11:49,0.344s,PASSED
"ota = getText(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/p_""))",Chrome 88.0.4324.182,จองครั้งเดียว,,2021-02-24 14:11:49,2021-02-24 14:11:49,0.323s,PASSED
"text = getText(findTestObject(""Object Repository/P_USE/25/Page_Bluuu/p_hello""))",Chrome 88.0.4324.182,hello,,2021-02-24 14:11:49,2021-02-24 14:11:49,0.319s,PASSED
"cat = getText(findTestObject(""P_USE/25/Page_Bluuu/cat""))",Chrome 88.0.4324.182,cat,,2021-02-24 14:11:49,2021-02-24 14:11:50,0.316s,PASSED
"dog = getText(findTestObject(""P_USE/25/Page_Bluuu/dog""))",Chrome 88.0.4324.182,dog,,2021-02-24 14:11:50,2021-02-24 14:11:50,0.326s,PASSED
"if (date == ""ศุกร์ 30 เม.ย. 2021"")",Chrome 88.0.4324.182,,,2021-02-24 14:11:50,2021-02-24 14:11:50,0.000s,PASSED
"if (doing == ""ทำความสะอาด 07:00 - 09:00"")",Chrome 88.0.4324.182,,,2021-02-24 14:11:50,2021-02-24 14:11:50,0.001s,PASSED
"if (loca == ""Town in Town Village"")",Chrome 88.0.4324.182,,,2021-02-24 14:11:50,2021-02-24 14:11:50,0.000s,PASSED
"if (dura == ""2 ชั่วโมง"")",Chrome 88.0.4324.182,,,2021-02-24 14:11:50,2021-02-24 14:11:50,0.001s,PASSED
"if (ota == ""จองครั้งเดียว"")",Chrome 88.0.4324.182,,,2021-02-24 14:11:50,2021-02-24 14:11:50,0.000s,PASSED
"if (text == ""hello"")",Chrome 88.0.4324.182,,,2021-02-24 14:11:50,2021-02-24 14:11:50,0.001s,PASSED
